source_full	source_current	source_context	source_tagged	gold_target_full	gold_target_current	gold_target_context	gold_target_tagged	generated_target_full	generated_target_current	generated_target_context
We have to get out of here while we still got the chance. I love you. Not the way that I want to be loved, not the way that you love Clarke. It's over, Finn. The dropship is still tied in to all of our major systems.<brk> If it launches, the Ark will be crippled, and everyone left on board will die.	If it launches, the Ark will be crippled, and everyone left on board will die.	We have to get out of here while we still got the chance. I love you. Not the way that I want to be loved, not the way that you love Clarke. It's over, Finn. The dropship is still tied in to all of our major systems.	If <p>it</p> launches, the Ark will be crippled, and everyone left on board will die.	Si elle est lancée‎, l'Arche sera affaiblie‎, et tout le monde à bord mourra‎.	Si elle est lancée‎, l'Arche sera affaiblie‎, et tout le monde à bord mourra‎.	Nous devons partir d'ici tant qu'il en est encore temps‎. Je t'aime‎. Pas comme je le voudrais‎, pas comme tu aimes Clarke‎. C'est fini‎, Finn‎. La  navette  est toujours liée à tous nos systèmes principaux‎.	Si <p>elle</p> est lancée‎, l'Arche sera affaiblie‎, et tout le monde à bord mourra‎.	S'il démarre, l'Arche sera infirme, et tous ceux qui sont partis mourront.	S'il démarre, l'Arche sera infirme, et tous ceux qui sont partis mourront.	
There's no defensive wounds. Her larynx was completely crushed. Hey, Rossi, take a look at her fingernails. For a woman who lives on the streets, she appears well-groomed. Yeah, it was the same with both victims.<brk> I'd say they bathed shortly before the attacks occurred.	I'd say they bathed shortly before the attacks occurred.	There's no defensive wounds. Her larynx was completely crushed. Hey, Rossi, take a look at her fingernails. For a woman who lives on the streets, she appears well-groomed. Yeah, it was the same with both victims.	I'd say <p>they</p> bathed shortly before the attacks occurred.	Je dirais qu'elles se sont baignés avant l'agression.	Je dirais qu'elles se sont baignés avant l'agression.	Il n'y a pas de blessures défensives. Son larynx est complètement écrasé. Rossi, jette un oeil à ses ongles. Pour une  fille  qui vivait dans la rue, elle est soignée. C'est la même chose avec le s deux victimes.	Je dirais qu'<p>elles</p> se sont baignés avant l'agression.	Je dirais qu'elles se sont laver peu de temps avant que les attaques aient eu lieu.	Je dirais qu'elles se sont laver peu de temps avant que les attaques aient eu lieu.	
Okay, dummy. Okay, Han, I can't hold you up anymore. Max, I think I just saw the murder car go by, out the bathroom window. - What exactly did you see? - A car.<brk> No, seriously, I think it followed me home.	No, seriously, I think it followed me home.	Okay, dummy. Okay, Han, I can't hold you up anymore. Max, I think I just saw the murder car go by, out the bathroom window. - What exactly did you see? - A car.	No, seriously, I think <p>it</p> followed me home.	Sérieusement, je pense qu'elle m'a suivie jusqu'ici.	Sérieusement, je pense qu'elle m'a suivie jusqu'ici.	OK, imbécile. OK, Han, je ne peux plus te retenir. Je crois que j'ai vu passer la voiture meurtrière par la fenêtre des toilettes. - Qu'est-ce que tu as vu exactement ? - Une  voiture .	Sérieusement, je pense qu'<p>elle</p> m'a suivie jusqu'ici.	Non, sérieusement, je pense qu'elle m'a suivi à la maison.	Non, sérieusement, je pense qu'elle m'a suivi à la maison.	
Look... That big bitch got scared and decided to go home! No... Why? That's toward the center rear.<brk> Is it heading toward Eren?	Is it heading toward Eren?	Look... That big bitch got scared and decided to go home! No... Why? That's toward the center rear.	Is <p>it</p> heading toward Eren?	Elle irait en direction d'Eren ?	Elle irait en direction d'Eren ?	Regarde ! Cette grande  conne  flippe et rentre chez elle ! Oh non... Pourquoi ? Elle va vers le centre arrière.	<p>Elle</p> irait en direction d'Eren ?	Est-ce qu'elle se dirige vers Eren?	Est-ce qu'elle se dirige vers Eren?	
Got something for me? Oh. So, here's the thing. No. Maybe you'd care to explain. Not everyone had stamps. They didn't know you was gonna be looking for 'em.<brk> Doesn't mean they shouldn't get a smoke.	Doesn't mean they shouldn't get a smoke.	Got something for me? Oh. So, here's the thing. No. Maybe you'd care to explain. Not everyone had stamps. They didn't know you was gonna be looking for 'em.	Doesn't mean <p>they</p> shouldn't get a smoke.	Ça ne veut pas dire qu'elles ne peuvent pas fumer.	Ça ne veut pas dire qu'elles ne peuvent pas fumer.	As-tu quelque chose pour moi ? Je dois dire que non. Peux-tu m'expliquer ? Certaines  filles  n'ont pas de timbres. Elles ignoraient que tu en voudrais.	Ça ne veut pas dire qu'<p>elles</p> ne peuvent pas fumer.	Ça ne veut pas dire qu'ils ne devraient pas prendre de fumée.	Ça ne veut pas dire qu'ils ne devraient pas prendre de fumée.	
All the safety mechanisms seem to be working. So what does that mean? Clearly, there's an issue. I-I'm gonna talk to Gavin about it. That thing was possessed.<brk> I swear, it felt like it was trying to kill me.	I swear, it felt like it was trying to kill me.	All the safety mechanisms seem to be working. So what does that mean? Clearly, there's an issue. I-I'm gonna talk to Gavin about it. That thing was possessed.	I swear, it felt like <p>it</p> was trying to kill me.	Je t'assure que j'ai eu l'impression qu'il essayait de me tuer.	Je t'assure que j'ai eu l'impression qu'il essayait de me tuer.	Les mécanismes de sécurité semblent fonctionner. Qu'est-ce que ça veut dire ? Parce que c'est clair qu'il y a un problème. Je vais en parler à Gavin. Ce  truc  était possédé.	Je t'assure que j'ai eu l'impression qu'<p>il</p> essayait de me tuer.	Je jure, il avait l'impression qu'il voulait me tuer.	Je jure, il avait l'impression qu'il voulait me tuer.	
I know it looked suspicious, arriving like that. It came from a former employee. It'll just be a few days. But a zombie is a zombie, right? But this one is almost human.<brk> Well, it's a carrier, but its virus count is low, so it's not fully developed.	Well, it's a carrier, but its virus count is low, so it's not fully developed.	I know it looked suspicious, arriving like that. It came from a former employee. It'll just be a few days. But a zombie is a zombie, right? But this one is almost human.	Well, <p>it</p>'s a carrier, but its virus count is low, so it's not fully developed.	Eh bien, il est un support mais il est dans la phase initiale, n'a pas perdu son humanité.	Eh bien, il est un support mais il est dans la phase initiale, n'a pas perdu son humanité.	Je sais que cela semble inquiétante, mais ne vous inquiétez pas . Un homme est venu chercher. Il ne fera que prendre une couple de jours. Un  zombie  est un zombie, non? Mais ceci est presque humain.	Eh bien, <p>il</p> est un support mais il est dans la phase initiale, n'a pas perdu son humanité.	C'est un porte-avions, mais son nombre de virus est faible, donc il n'est pas complètement développé.	C'est un porte-avions, mais son nombre de virus est faible, donc il n'est pas complètement développé.	
The bishop is no fool. He offered money to the Indians who baptised - their children. - They must have been easily persuaded. There were 60 conversions in a week. A miracle! In the Middle Ages, the Church distributed indulgences.<brk> Today it is buying your workers, but it always pays - the poor with thin air.	Today it is buying your workers, but it always pays - the poor with thin air.	The bishop is no fool. He offered money to the Indians who baptised - their children. - They must have been easily persuaded. There were 60 conversions in a week. A miracle! In the Middle Ages, the Church distributed indulgences.	Today <p>it</p> is buying your workers, but it always pays - the poor with thin air.	Aujourd'hui, elle achète votre main-d'oeuvre mais elle paie toujours les pauvres avec du vent.	Aujourd'hui, elle achète votre main-d'oeuvre mais elle paie toujours les pauvres avec du vent.	-On peut dire que l'évêque sait y faire. Il a proposé de l'argent aux Indiens qui faisaient baptiser leurs enfants. -Ils ont dû se faire tirer l'oreille. En une semaine, il y a eu 60 conversions. -Un miracle ! -Au moyen âge, l' Eglise  distribuait des indulgences.	Aujourd'hui, <p>elle</p> achète votre main-d'oeuvre mais <p>elle</p> paie toujours les pauvres avec du vent.	Aujourd'hui, elle achète vos ouvriers, mais elle paie toujours les pauvres avec peu d'air.	Aujourd'hui, elle achète vos ouvriers, mais elle paie toujours les pauvres avec peu d'air.	
He's gonna send agents after us. We're running out of time. I have a program that could help, but it's on my office computer. (Whirring) What exactly is this program supposed to do? - Because it's not doing it.<brk> - Well, if you did what I told you, it should be accessing the Navy missions flown by the President.	- Well, if you did what I told you, it should be accessing the Navy missions flown by the President.	He's gonna send agents after us. We're running out of time. I have a program that could help, but it's on my office computer. (Whirring) What exactly is this program supposed to do? - Because it's not doing it.	- Well, if you did what I told you, <p>it</p> should be accessing the Navy missions flown by the President.	- Si tu as fait ce que j'ai dit, il devrait accéder aux missions du président pour l'armée.	- Si tu as fait ce que j'ai dit, il devrait accéder aux missions du président pour l'armée.	Il va nous envoyer ses agents. On n'a plus de temps. J'ai un programme qui peut aider, mais sur mon ordinateur de bureau. Qu'est censé faire ce  programme  ? - Parce qu'il ne le fait pas.	- Si tu as fait ce que j'ai dit, <p>il</p> devrait accéder aux missions du président pour l'armée.	Si vous avez fait ce que je vous ai dit, il devrait accéder aux missions de la marine par le Président.	Si vous avez fait ce que je vous ai dit, il devrait accéder aux missions de la marine par le Président.	
Well, an opportunity has come up to turn that fantasy into reality. For those of you who care enough to join us. In two weeks, an untouched jungle in the Peruvian Amazon will be destroyed forever. And so will the natives inside it. The companies want the natural gas in the ground under the villages.<brk> So they GPS the location, bulldoze the homes, and kill the natives.	So they GPS the location, bulldoze the homes, and kill the natives.	Well, an opportunity has come up to turn that fantasy into reality. For those of you who care enough to join us. In two weeks, an untouched jungle in the Peruvian Amazon will be destroyed forever. And so will the natives inside it. The companies want the natural gas in the ground under the villages.	So <p>they</p> GPS the location, bulldoze the homes, and kill the natives.	Elles repèrent l'endroit, détruisent les maisons et tuent les indigènes.	Elles repèrent l'endroit, détruisent les maisons et tuent les indigènes.	On a une occasion de faire de ce rêve une réalité. Pour ceux qui veulent se joindre à nous. Dans deux semaines, une jungle vierge de l'Amazonie péruvienne sera détruite à jamais. Tout comme les indigènes qui y vivent. Les  entreprises  veulent le gaz naturel qui se trouve sous les villages.	<p>Elles</p> repèrent l'endroit, détruisent les maisons et tuent les indigènes.	Elles ont donc repéré l'endroit, balayé les maisons et tué les indigènes.	Elles ont donc repéré l'endroit, balayé les maisons et tué les indigènes.	
Lexy, get down from there! That was Hotch. The doctor told him the placenta was scraped completely out of the victim's uterus. Every bit of it. You know, the placenta does carry special significance in many cultures.<brk> In ancient Egypt, it had its own hieroglyph.	In ancient Egypt, it had its own hieroglyph.	Lexy, get down from there! That was Hotch. The doctor told him the placenta was scraped completely out of the victim's uterus. Every bit of it. You know, the placenta does carry special significance in many cultures.	In ancient Egypt, <p>it</p> had its own hieroglyph.	Dans l'Égypte ancienne, il avait son propre hiéroglyphe.	Dans l'Égypte ancienne, il avait son propre hiéroglyphe.	Lexy, descend de là ! C'était Hotch. Le docteur lui a dit que le placenta a été totalement enlevé de l'utérus de la victime. Entièrement. Le  placenta  a une signification spéciale dans certaines cultures.	Dans l'Égypte ancienne, <p>il</p> avait son propre hiéroglyphe.	Dans l'Égypte antique, il avait un hiéroglyphe.	Dans l'Égypte antique, il avait un hiéroglyphe.	
Come in and shut the door. You wanna tell me what's going on? I don't know what you mean. Well, since when does a 250-word obit turn into a 2-column expose on cold war espionage? This Mr. Diebold story, it...<brk> it inspired me.	it inspired me.	Come in and shut the door. You wanna tell me what's going on? I don't know what you mean. Well, since when does a 250-word obit turn into a 2-column expose on cold war espionage? This Mr. Diebold story, it...	<p>it</p> inspired me.	elle m'a inspiré.	elle m'a inspiré.	Entre et ferme la porte. Tu veux me dire ce qui se passe? Je ne vois pas ce que tu veux dire. Eh bien, depuis quand une notice nécrologique de 250 mots passe en 2 colonnes dans un exposé sur l'espionnage durant la guerre froide ? Cette  histoire  de Mr Diebold, elle ...	<p>elle</p> m'a inspiré.	elle m'a inspiré.	elle m'a inspiré.	
Okay, Batman. I'd appreciate it if you didn't tell anyone. Let me guess, you're keeping it pure, right? You want to make it about the art and not about the artist. Some things are easy to make fun of.<brk> Doesn't mean they're not important.	Doesn't mean they're not important.	Okay, Batman. I'd appreciate it if you didn't tell anyone. Let me guess, you're keeping it pure, right? You want to make it about the art and not about the artist. Some things are easy to make fun of.	Doesn't mean <p>they</p>'re not important.	Cela ne veut pas dire qu'elles ne sont pas importantes.	Cela ne veut pas dire qu'elles ne sont pas importantes.	Ok, Batman. J'apprécierais si tu ne le disais à personne. Laisse moi deviner, tu veux le garder pure, n'est ce pas? Tu veux en faire quelque chose à propos de l'art et non de l'artiste. Il est facile de se moquer de certaines  choses .	Cela ne veut pas dire qu'<p>elles</p> ne sont pas importantes.	Ça ne veut pas dire qu'elles ne sont pas importantes.	Ça ne veut pas dire qu'elles ne sont pas importantes.	
"Let's see what this is about. ""Silver rush... grubstakes..."" Mikey, I don't mean to alarm you, but-- I know, I know. Eh? Two women died in the house.<brk> Were they in each others' arms?"	Were they in each others' arms?	"Let's see what this is about. ""Silver rush... grubstakes..."" Mikey, I don't mean to alarm you, but-- I know, I know. Eh? Two women died in the house."	Were <p>they</p> in each others' arms?	Elles étaient dans les bras l'une de l'autre ?	Elles étaient dans les bras l'une de l'autre ?	"Voyons de quoi ça parle. ""La ruée vers l'argent... les financements..."" Mikey, je voudrais pas t'alarmer mais... Je sais, je sais. Deux  femmes  sont mortes dans la maison."	<p>Elles</p> étaient dans les bras l'une de l'autre ?	Étaient-elles dans les bras des autres?	Étaient-elles dans les bras des autres?	
What do we know? 11 women have come forward to report they were snipped by this guy. Including the dead girl? Yeah. I got my guys doing welfare checks on the other ten. But we need to assume that there are more women out there that didn't report it.<brk> Well, let's hope they're just shy, not dead, too.	Well, let's hope they're just shy, not dead, too.	What do we know? 11 women have come forward to report they were snipped by this guy. Including the dead girl? Yeah. I got my guys doing welfare checks on the other ten. But we need to assume that there are more women out there that didn't report it.	Well, let's hope <p>they</p>'re just shy, not dead, too.	Eh bien, espérons qu'elles sont timides, et pas mortes elles-aussi.	Eh bien, espérons qu'elles sont timides, et pas mortes elles-aussi.	Qu'est-ce que l'on sait ? - 11 femmes ont signalé avoir été victimes de ce gars. En incluant la fille décédée ? Oui. Mes gars sont en train de vérifier pour les 10 autres. Mais on doit supposer que que d'autres  femmes  ne se sont pas manifestées.	Eh bien, espérons qu'<p>elles</p> sont timides, et pas mortes elles-aussi.	J'espère qu'elles ne sont pas mortes.	J'espère qu'elles ne sont pas mortes.	
Last week, I had my yearly tax seminar. It's usually only attended by Dash and Sergeant Jeffries and Shula. Standing room only. All single women. Well,<brk> I guess they heard that George Tucker is back on the market.	I guess they heard that George Tucker is back on the market.	Last week, I had my yearly tax seminar. It's usually only attended by Dash and Sergeant Jeffries and Shula. Standing room only. All single women. Well,	I guess <p>they</p> heard that George Tucker is back on the market.	Je suppose qu'elles ont apprient que George Tucker est de retour sur le marché.	Je suppose qu'elles ont apprient que George Tucker est de retour sur le marché.	La semaine dernière, j'ai eu un séminaire sur les taxes annuelles. Habituellement, c'est juste en présence de Dash, du sergent Jeffries et de Shula. Salle d'attente seulement. Toutes les  femmes  célibataires. Bien,	Je suppose qu'<p>elles</p> ont apprient que George Tucker est de retour sur le marché.	J'imagine qu'elles ont entendu dire que George Tucker était de retour au marché.	J'imagine qu'elles ont entendu dire que George Tucker était de retour au marché.	
- Yes, my... Oh, I have a bubbe. - Uh, my bubbe is in a home. - Yeah. Old people freak me out. With their hands and their legs.<brk> Just, they're like the human version of pleated pants.	Just, they're like the human version of pleated pants.	- Yes, my... Oh, I have a bubbe. - Uh, my bubbe is in a home. - Yeah. Old people freak me out. With their hands and their legs.	Just, <p>they</p>'re like the human version of pleated pants.	Elles ont l'air d'être des versions humaines de plantes en pot.	Elles ont l'air d'être des versions humaines de plantes en pot.	-oui ma... oh j'ai une bubbe. -Oui ma bubbe est en maison. -ok. Les  personnes  âgées me foutent la trouille. Avec leurs mains et leurs jambes.	<p>Elles</p> ont l'air d'être des versions humaines de plantes en pot.	Juste, ils sont comme la version humaine des pantalons en plis.	Juste, ils sont comme la version humaine des pantalons en plis.	
It's high. I would need to do a number of vocal exercises before I attempted that. I think the lyrics so much sum up the recording business. Rock 'n' roll, man. # You're gonna go far. # The record companies were...<brk> they were all-powerful, in a way.	they were all-powerful, in a way.	It's high. I would need to do a number of vocal exercises before I attempted that. I think the lyrics so much sum up the recording business. Rock 'n' roll, man. # You're gonna go far. # The record companies were...	<p>they</p> were all-powerful, in a way.	Elles étaient toutes-puissantes.	Elles étaient toutes-puissantes.	C'est aigu. Je devrais faire des exercices de chant avant de chanter cette chanson. Je crois que les paroles résument bien l'industrie musicale. Rock 'n' roll. Les  maisons  de disques étaient...	<p>Elles</p> étaient toutes-puissantes.	Elles étaient toutes puissantes.	Elles étaient toutes puissantes.	
Is it a tandem Speedo for two men? Eh, even this is too loose. Mark, hop in here! Did they get this on sale? Was this the floor model?<brk> Well, if it wasn't, it is now!	Well, if it wasn't, it is now!	Is it a tandem Speedo for two men? Eh, even this is too loose. Mark, hop in here! Did they get this on sale? Was this the floor model?	Well, if <p>it</p> wasn't, it is now!	S'il ne l'était pas, maintenant il l'est.	S'il ne l'était pas, maintenant il l'est.	C'est un  maillot  en tandem pour deux mecs ? Même comme ça il est trop large. Mark, viens là ! Ils avaient ça en vente ? Ou c'est le modèle de démo ?	S'<p>il</p> ne l'était pas, maintenant il l'est.	Eh bien, si elle ne l'était pas, elle l'est maintenant!	Eh bien, si elle ne l'était pas, elle l'est maintenant!	
All right, first of all, cross your legs. Okay, second of all, I don't know how Excuse me, brotha. you managed this, but I am not signing for this food. You tell 'em, sister. Bruddah, you call these jumbo shrimp?<brk> They're small, they're rubbery, and they got no flavor.	They're small, they're rubbery, and they got no flavor.	All right, first of all, cross your legs. Okay, second of all, I don't know how Excuse me, brotha. you managed this, but I am not signing for this food. You tell 'em, sister. Bruddah, you call these jumbo shrimp?	<p>They</p>'re small, they're rubbery, and they got no flavor.	Elles sont petites, elles sont caoutchouteuses, et elles n'ont pas de gout.	Elles sont petites, elles sont caoutchouteuses, et elles n'ont pas de gout.	Ok, premièrement, croise tes jambes. Ok, et deuxièmement je ne sais pas comment Excuse moi, mon pote, t'as préparé ça, mais je ne vais pas signer pour cette bouffe. Dis-leur, sister. Bruddah, comment t'appelles ces  crevettes  géantes ?	<p>Elles</p> sont petites, elles sont caoutchouteuses, et elles n'ont pas de gout.	Elles sont petites, caoutchouteuses, et elles n'ont pas de goût.	Elles sont petites, caoutchouteuses, et elles n'ont pas de goût.	
Lincoln, do you copy? Hello? Peter, it's me. Yeah, yeah, yeah. Turn on the lights. The creature is nocturnal.<brk> If it's there, the lights might scare it out of hiding.	If it's there, the lights might scare it out of hiding.	Lincoln, do you copy? Hello? Peter, it's me. Yeah, yeah, yeah. Turn on the lights. The creature is nocturnal.	If <p>it</p>'s there, the lights might scare it out of hiding.	Si elle est là, les lumières pourraient la faire sortir de sa cachette.	Si elle est là, les lumières pourraient la faire sortir de sa cachette.	Lincoln, tu me reçois ? Allô ? Peter, c'est moi. Allume les lumières. La  créature  est nocturne.	Si <p>elle</p> est là, les lumières pourraient la faire sortir de sa cachette.	Si elle est là, les lumières pourraient l'effrayer de se cacher.	Si elle est là, les lumières pourraient l'effrayer de se cacher.	
How about I let you think about it? I don't need to. I want at least a chance to see my grandson graduate. Like you said... it's big. In medicine, we predict outcomes largely based on precedent because diseases tend to be unoriginal;<brk> they chart the same course, invade the same cells, wreak the same havoc.	they chart the same course, invade the same cells, wreak the same havoc.	How about I let you think about it? I don't need to. I want at least a chance to see my grandson graduate. Like you said... it's big. In medicine, we predict outcomes largely based on precedent because diseases tend to be unoriginal;	<p>they</p> chart the same course, invade the same cells, wreak the same havoc.	Elles prennent le même chemin, envahissent les mêmes cellules, sèment le même chaos.	Elles prennent le même chemin, envahissent les mêmes cellules, sèment le même chaos.	Et si je vous laissez y réfléchir ? Je n'en ai pas besoin. Je veux au moins une chance de voir mon petit-fils diplômé. Comme vous avez dit... C'est important. En médecine, on prédit les résultats d'après les cas précédents car les  pathologies  sont prévisibles.	<p>Elles</p> prennent le même chemin, envahissent les mêmes cellules, sèment le même chaos.	elles suivent la même trajectoire, envahissent les mêmes cellules, semaient le même chaos.	elles suivent la même trajectoire, envahissent les mêmes cellules, semaient le même chaos.	
What kind of mood was she in? I mean, she looked worried or something? No, she was... just Anne-Marie, you know? A little awkward, a lot efficient. Her information on the trafficked women was very good.<brk> They were exactly where her source had said they would be.	They were exactly where her source had said they would be.	What kind of mood was she in? I mean, she looked worried or something? No, she was... just Anne-Marie, you know? A little awkward, a lot efficient. Her information on the trafficked women was very good.	<p>They</p> were exactly where her source had said they would be.	Elles se trouvaient exactement là où sa source avait dit qu'elles seraient.	Elles se trouvaient exactement là où sa source avait dit qu'elles seraient.	De quelle humeur était-elle ? Je veux dire, elle avait l'air inquiète ou quoi ? Non, elle était... comme d'habitude, vous voyez ce que je veux dire ? Un peu bizarre, mais très efficace. Ses informations sur le trafic des  femmes  étaient excellentes.	<p>Elles</p> se trouvaient exactement là où sa source avait dit qu'elles seraient.	Elles étaient exactement là où sa source avait dit qu'elles seraient.	Elles étaient exactement là où sa source avait dit qu'elles seraient.	
I would need to do a number of vocal exercises before I attempted that. I think the lyrics so much sum up the recording business. Rock 'n' roll, man. # You're gonna go far. # The record companies were... they were all-powerful, in a way.<brk> No-one worked without a record deal in those days, so they had a lot of power.	No-one worked without a record deal in those days, so they had a lot of power.	I would need to do a number of vocal exercises before I attempted that. I think the lyrics so much sum up the recording business. Rock 'n' roll, man. # You're gonna go far. # The record companies were... they were all-powerful, in a way.	No-one worked without a record deal in those days, so <p>they</p> had a lot of power.	Personne ne travaillait sans contrat, à l'époque. Elles étaient très puissantes.	Personne ne travaillait sans contrat, à l'époque. Elles étaient très puissantes.	Je devrais faire des exercices de chant avant de chanter cette chanson. Je crois que les paroles résument bien l'industrie musicale. Rock 'n' roll. Les  maisons  de disques étaient... Elles étaient toutes-puissantes.	Personne ne travaillait sans contrat, à l'époque. <p>Elles</p> étaient très puissantes.	Personne n'a travaillé sans contrat de disques à l'époque, donc elles avaient beaucoup de pouvoir.	Personne n'a travaillé sans contrat de disques à l'époque, donc elles avaient beaucoup de pouvoir.	
Why, what happened? Well, I take my son to family time while my wife does yoga, but last week, when I walked Evan back, she noticed a truck driving behind us. Like following you? Yeah. You remember what the truck looked like?<brk> Yeah, it was black, a woman driver.	Yeah, it was black, a woman driver.	Why, what happened? Well, I take my son to family time while my wife does yoga, but last week, when I walked Evan back, she noticed a truck driving behind us. Like following you? Yeah. You remember what the truck looked like?	Yeah, <p>it</p> was black, a woman driver.	Oui, il était noir, une femme au volant.	Oui, il était noir, une femme au volant.	Pourquoi, que s'est-il passé ? Et bien, j'emmène mon fils au temps de famille pendant que ma femme va au yoga, mais la semaine dernière, quand je suis revenu avec Evan, elle a remarqué un camion qui roulait derrière nous. Vous dites qu'il vous suivait ? Oui. Vous vous rappelez à quoi le  camion  ressemblait ?	Oui, <p>il</p> était noir, une femme au volant.	Il était noir, il conduisait une femme.	Il était noir, il conduisait une femme.	
Did you call an ambulance? You have to come over. It went under the couch. I can't even look. What if it's still alive?<brk> What if I lift the couch and it starts flipping around?	What if I lift the couch and it starts flipping around?	Did you call an ambulance? You have to come over. It went under the couch. I can't even look. What if it's still alive?	What if I lift the couch and <p>it</p> starts flipping around?	Et si je soulève le canapé et il panique dans tous les sens?	Et si je soulève le canapé et il panique dans tous les sens?	Tu as appelé une ambulance? Il faut que tu viennes. Il est parti sous le canapé. Je peux même pas regarder. Et s' il  est encore vivant?	Et si je soulève le canapé et <p>il</p> panique dans tous les sens?	Et si je le levais et qu'il se mettait à se retourner?	Et si je le levais et qu'il se mettait à se retourner?	
"Say quick: Does she now think I am a murderer? She weeps and weeps. And lies upon her bed, and... and then jumps up and cries out, ""Tybalt,"" and then, ""Romeo."" My name was fatal to her from the start.<brk> It kills her, as it killed her noble kinsman."	It kills her, as it killed her noble kinsman.	"Say quick: Does she now think I am a murderer? She weeps and weeps. And lies upon her bed, and... and then jumps up and cries out, ""Tybalt,"" and then, ""Romeo."" My name was fatal to her from the start."	<p>It</p> kills her, as it killed her noble kinsman.	Il la tue, comme il a tué son noble parent.	Il la tue, comme il a tué son noble parent.	"Dis moi vite : Est ce qu'elle sait maintenant que je suis un meurtrier? Elle pleure et pleure. Et se trouve sur son lit, et ... puis saute et crie, ""Tybalt,"" puis, ""Romeo"". Mon  nom  lui est fatal depuis le début"	<p>Il</p> la tue, comme il a tué son noble parent.	Il la tue, comme il a tué son noble parent.	Il la tue, comme il a tué son noble parent.	
Jordy just told me Maggie Kester is one of them. She's lying. Maggie's one of them. Maggie, you're getting a message.<brk> What does it say?	What does it say?	Jordy just told me Maggie Kester is one of them. She's lying. Maggie's one of them. Maggie, you're getting a message.	What does <p>it</p> say?	Qu'est-ce qu'il dit?	Qu'est-ce qu'il dit?	Jordy m'a juste dit Maggie Kester est l'une d'entre elles. Elle ment. Maggie est l'une d'entre nous. Maggie, tu as reçu un  message .	Qu'est-ce qu'<p>il</p> dit?	Qu'est-ce qu'il dit?	Qu'est-ce qu'il dit?	
- It's Pennsylvania. What I can't tell you is what kind of animal left Lisa Willoughby here or what direction it came from. Of course, there's been nearly a week for the tracks to degrade, but... we're still talking about an animal of sufficient size to drag a 60-pound load an unknown distance. And that... officers... is very weird. In your experience, why would an animal do that?<brk> In my experience, it wouldn't.	In my experience, it wouldn't.	- It's Pennsylvania. What I can't tell you is what kind of animal left Lisa Willoughby here or what direction it came from. Of course, there's been nearly a week for the tracks to degrade, but... we're still talking about an animal of sufficient size to drag a 60-pound load an unknown distance. And that... officers... is very weird. In your experience, why would an animal do that?	In my experience, <p>it</p> wouldn't.	Celons moi, il ne voudrait pas.	Celons moi, il ne voudrait pas.	- On est en Pennsylvanie. Ce que je ne peut pas vous dire c'est le type d'animal qui a laissé Lisa Willoughby ici ni de quel direction il est venu. Bien sur, les traces ont eu une semaine pour se détériorer, mais... Mais nous parlons toujours d'un animal suffisamment gros pour trainer une charge de 30Kg sur une distance inconnu. Et ça... Officiers... C'est très étrange. Celons vous, pourquoi un  animal  voudrait faire ça ?	Celons moi, <p>il</p> ne voudrait pas.	D'après mon expérience, il ne le ferait pas.	D'après mon expérience, il ne le ferait pas.	
Millie? Lipstick. Lucy, can you mark them up? Each journey, please. Now, we're not looking at the lines.<brk> We're looking at where they cross.	We're looking at where they cross.	Millie? Lipstick. Lucy, can you mark them up? Each journey, please. Now, we're not looking at the lines.	We're looking at where <p>they</p> cross.	Mais où elles se croisent.	Mais où elles se croisent.	Millie ? Le rouge à lèvres. Tu peux les surligner. Chaque trajet. On ne regarde pas les  lignes .	Mais où <p>elles</p> se croisent.	On regarde où elles se croisent.	On regarde où elles se croisent.	
How's your night? Yeah, pretty... Pretty shit. Just found out me best mate's been having sex with... probably the only girl I've ever really loved. Women don't know what they do to us.<brk> And then they ride off into the sunset with someone... ..slightly less handsome than ourselves.	And then they ride off into the sunset with someone... ..slightly less handsome than ourselves.	How's your night? Yeah, pretty... Pretty shit. Just found out me best mate's been having sex with... probably the only girl I've ever really loved. Women don't know what they do to us.	And then <p>they</p> ride off into the sunset with someone... ..slightly less handsome than ourselves.	Et puis elles partent au coucher du soleil avec quelqu'un légèrement moins beau que nous.	Et puis elles partent au coucher du soleil avec quelqu'un légèrement moins beau que nous.	Comment est ta soirée ? Ben, plutôt... Plutôt merdique. Je viens juste de découvrir que mon meilleur pote couchait avec... probablement la seule fille que j'ai vraiment aimée. Les  femmes  ne savent pas ce qu'elles nous font.	Et puis <p>elles</p> partent au coucher du soleil avec quelqu'un légèrement moins beau que nous.	Et puis elles partent au coucher du soleil avec quelqu'un... légèrement moins beau que nous.	Et puis elles partent au coucher du soleil avec quelqu'un... légèrement moins beau que nous.	
Miss Davidson, we know the rules are there for a reason. But it doesn't mean they're always right. Like the wet cells. You fixed that. Now, all the women are cut up about what happened to Debbie.<brk> And they like Bea.	And they like Bea.	Miss Davidson, we know the rules are there for a reason. But it doesn't mean they're always right. Like the wet cells. You fixed that. Now, all the women are cut up about what happened to Debbie.	And <p>they</p> like Bea.	Et elles aiment Bea.	Et elles aiment Bea.	Mlle Davidson, on sait que les règles sont là pour une raison. Mais ça ne veut pas dire qu'elles sont toujours justes. Comme les cellules équipées de toilettes. Vous avez arrangé ça. Maintenant, toutes les  femmes  sont déchirées par ce qui est arrivé à Debbie.	Et <p>elles</p> aiment Bea.	Et elles aiment Bea.	Et elles aiment Bea.	
